St_ID,St_Flag,Name,Elevation,El_Flag,Long,Lat,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1086083,NA,PEMBERTON BC,218, ,-122.816667,50.316667,189,112,101,68,45,45,35,43,58,146,174,154,1170
1086090,NA,PEMBERTON ME,223, ,-122.933333,50.45,185,59,68,48,37,54,37,33,35,145,199,139,1039
1086550,NA,PUNTCHESAKUT,915, ,-122.9553,52.99167,41,19,19,21,41,68,66,51,42,39,43,38,489
1086556,NA,PUNTZI MOUNT,910, ,-124.083333,52.116667,19,11,11,18,32,50,35,34,23,26,37,19,314
1086695,NA,REDSTONE STU,842, ,-123.7,52.15,19,7,5,15,32,57,41,30,30,23,26,24,311
1087600,NA,SOUTHBANK,730, ,-125.766667,54.033333,38,29,25,17,39,58,43,39,40,42,46,39,456
1087950,NA,TAHTSA LAKE,863, ,-127.7,53.616667,255,190,149,97,73,62,53,76,163,275,306,248,1948
1087974,NA,TAKYSIE LAKE,884, ,-125.866667,53.866667,51,32,30,23,42,58,55,45,46,57,60,57,555
1088007,NA,TATELKUZ LAK,914, ,-124.733333,53.3,-9999,28,-9999,-9999,-9999,-9999,-9999,41,40,-9999,-9999,-9999,-9999
1088009,NA,TATLA LAKE B,945, ,-124.6,51.9,22,13,22,27,19,36,33,23,20,27,79,30,349
1088010,NA,TATLAYOKO LA,870, ,-124.4,51.666667,41,24,28,20,29,40,38,34,26,52,61,53,447
1088015,NA,TATLAYOKO LA,875, ,-124.4031,51.67456,46,15,22,10,20,27,19,17,20,29,78,22,326
1088970,NA,WISTARIA,863, ,-126.216667,53.833333,38,25,20,17,31,54,43,38,40,40,43,39,427
1090300,NA,ALEZA LAKE,625, ,-122.066667,54.116667,102,62,56,42,65,78,63,60,79,107,96,85,896
1090660,NA,BARKERVILLE,1283, ,-121.5147,53.06917,100,59,68,59,77,99,95,82,81,93,107,98,1019
1090904,NA,BOSS MOUNTAI,1532, ,-120.883333,52.1,120,99,93,72,78,114,103,72,92,107,151,127,1227
1090R0R,NA,BOWRON LAKE,945, ,-121.45,53.283333,77,44,35,51,63,91,90,72,71,75,69,69,805
1091169,NA,BURNS LAKE,704, ,-125.766667,54.233333,36,27,25,24,40,49,47,45,46,47,50,38,474
1091170,NA,BURNS LAKE D,707, ,-125.8,54.25,45,32,28,23,46,51,54,40,37,43,51,59,510
1091174,NA,BURNS LAKE C,713, ,-125.9587,54.38317,32,21,20,24,29,50,40,32,35,40,27,24,375
1091235,NA,CAMILLE LAKE,857, ,-121.966667,52.416667,51,23,21,34,46,70,58,53,40,57,62,-9999,-9999
1091512,NA,CHIEF LAKE,793, ,-123.066667,54.1,68,39,35,40,48,55,59,38,56,61,86,58,644
1092120,NA,CRESCENT SPU,686, ,-120.7,53.6,94,47,53,40,61,83,109,94,77,81,85,56,879
1092520,NA,DOME CREEK,648, ,-120.983333,53.733333,87,49,47,55,59,83,83,78,93,84,82,78,878
1092578,NA,DUNSTER,725, ,-119.85,53.133333,65,38,46,37,46,58,59,51,51,78,66,61,655
1092676,NA,ENDAKO MINE,985, ,-125.1,54.033333,58,29,38,32,37,58,50,46,46,46,52,56,548
1092678,NA,ENDAKO SAVOR,689, ,-125.166667,54.1,54,-9999,-9999,25,54,38,49,43,39,49,-9999,42,-9999
1092685,NA,ENGEN,706, ,-124.216667,54.033333,46,33,29,24,45,69,51,42,45,45,46,52,526
1092905,NA,FORT FRASER,701, ,-124.583333,53.883333,52,27,26,30,42,64,67,52,46,49,55,48,558
1092970,NA,FORT ST JAME,685, ,-124.3297,54.42528,51,28,25,22,39,50,48,46,38,49,46,43,485
1092972,NA,FORT ST JAME,716, ,-124.25,54.416667,45,26,-9999,32,39,53,57,44,41,50,48,-9999,-9999
1093474,NA,HIXON,541, ,-122.6994,53.53167,64,33,33,38,47,69,67,51,57,64,63,59,645
1093475,NA,HIXON BCFS,587, ,-122.583333,53.416667,63,29,30,39,52,79,58,53,62,60,50,32,608
1093599,NA,HORSEFLY BCF,785, ,-121.416667,52.333333,48,21,18,32,58,71,64,60,52,45,42,44,555
1093600,NA,HORSEFLY LAK,777, ,-121.3642,52.3625,56,30,31,30,54,74,66,55,51,53,54,58,614
1093730,NA,JESMOND,1158, ,-121.966667,51.266667,-9999,-9999,-9999,-9999,44,-9999,-9999,-9999,-9999,-9999,32,-9999,-9999
1093777,NA,KALDER LAKE,969, ,-124.25,54.966667,79,59,61,48,57,62,62,47,61,87,94,77,796
1094125,NA,KERSLEY,671, ,-122.366667,52.816667,49,21,23,33,47,65,56,51,46,49,43,45,530
1094127,NA,KERSLEY 2,570, ,-122.4129,52.81442,55,25,26,28,41,62,58,48,43,48,48,50,531
1094455,NA,LAC LA HACHE,819, ,-121.466667,51.816667,30,22,18,24,27,49,54,45,32,39,37,45,421
1094456,NA,LAC LA HACHE,906, ,-121.733333,51.883333,-9999,-9999,21,28,35,54,64,49,37,38,-9999,39,-9999
1094457,NA,LAC LA HACHE,990, ,-121.55,51.716667,32,17,15,-9999,-9999,-9999,73,51,34,-9999,36,37,-9999
1094602,NA,LEO CREEK,698, ,-125.583333,55.083333,70,54,55,63,62,49,59,58,62,67,-9999,69,-9999
1094616,NA,LIKELY,724, ,-121.533333,52.6,71,38,34,48,56,83,59,60,57,73,64,69,712
1094719,NA,LORSTA WILLI,927, ,-122.35,51.966667,-9999,-9999,-9999,16,31,53,46,34,29,26,-9999,-9999,-9999
1094948,NA,MCBRIDE ELDE,733, ,-120.3527,53.42339,55,32,43,38,53,69,97,74,70,70,61,47,710
1094950,NA,MCBRIDE 4SE,722, ,-120.15,53.266667,59,33,42,40,37,46,63,45,63,60,60,45,593
1094955,NA,MCBRIDE NORT,771, ,-120.25,53.366667,56,26,42,49,49,76,69,62,72,79,58,48,685
1094962,NA,MCBRIDE S &,716, ,-120.133333,53.266667,73,-9999,-9999,55,50,67,73,72,62,86,61,-9999,-9999
