ID1,ID2,lat,long,el
1,BC,48.237397,-123.542145,0
2,BC,48.247492,-123.487106,0
3,BC,48.251647,-123.668365,0
4,BC,48.257564,-123.432037,0
5,BC,48.261795,-123.613327,0
6,BC,48.265776,-123.794647,0
7,BC,48.267614,-123.376953,0
8,BC,48.27192,-123.558273,0
9,BC,48.275977,-123.739616,0
10,BC,48.27764,-123.321838,0
11,BC,48.282022,-123.503189,0
12,BC,48.286154,-123.68457,0
13,BC,48.287643,-123.266708,0
14,BC,48.290037,-123.865982,0
15,BC,48.292101,-123.44809,0
16,BC,48.296309,-123.629501,0
17,BC,48.300268,-123.810944,0
18,BC,48.302156,-123.392967,0
19,BC,48.303977,-123.992409,0
20,BC,48.30644,-123.574409,0
21,BC,48.310475,-123.755882,0
22,BC,48.312189,-123.33783,0
23,BC,48.31426,-123.937386,0
24,BC,48.316549,-123.519302,0
25,BC,48.320659,-123.700806,0
26,BC,48.322199,-123.282661,0
27,BC,48.32452,-123.882332,0
28,BC,48.326635,-123.464165,0
29,BC,48.328131,-124.063889,0
30,BC,48.330821,-123.645699,108
31,BC,48.332186,-123.227478,0
32,BC,48.334757,-123.827263,0
33,BC,48.336697,-123.409012,0
34,BC,48.338443,-124.00885,0
35,BC,48.340959,-123.590576,0
36,BC,48.344971,-123.772171,0
37,BC,48.346736,-123.353836,0
38,BC,48.348733,-123.953796,0
39,BC,48.351074,-123.535431,0
40,BC,48.352246,-124.135437,0
41,BC,48.355162,-123.717056,0
42,BC,48.356753,-123.298637,0
43,BC,48.359,-123.898712,0
44,BC,48.361166,-123.480263,0
45,BC,48.362588,-124.080391,0
46,BC,48.36533,-123.661919,0
47,BC,48.366746,-123.243423,0
48,BC,48.369244,-123.843605,0
49,BC,48.371236,-123.425079,0
50,BC,48.372908,-124.025314,0
51,BC,48.375475,-123.606766,175
52,BC,48.376322,-124.207054,0
53,BC,48.376716,-123.188179,0
54,BC,48.379465,-123.788483,41
55,BC,48.381282,-123.369865,0
56,BC,48.383205,-123.970222,0
57,BC,48.385597,-123.551582,62
58,BC,48.386694,-124.151993,0
59,BC,48.389663,-123.73333,58
60,BC,48.389934,-124.333786,0
61,BC,48.391305,-123.314636,0
62,BC,48.393478,-123.915108,130
63,BC,48.395696,-123.496384,16
64,BC,48.397044,-124.096909,0
65,BC,48.399837,-123.678162,127
66,BC,48.400359,-124.278732,0
67,BC,48.401304,-123.259384,0
68,BC,48.403729,-123.85997,147
69,BC,48.405772,-123.441162,0
70,BC,48.40737,-124.041801,0
71,BC,48.409989,-123.622971,246
72,BC,48.410762,-124.223663,0
73,BC,48.411281,-123.204109,0
74,BC,48.413903,-124.40554,0
75,BC,48.413957,-123.80481,203
76,BC,48.415825,-123.385918,7
77,BC,48.417674,-123.986679,238
78,BC,48.420118,-123.567757,119
79,BC,48.421141,-124.168571,0
80,BC,48.421235,-123.148811,0
81,BC,48.424161,-123.749626,201
82,BC,48.424358,-124.350479,0
83,BC,48.425854,-123.33065,31
84,BC,48.427954,-123.931526,428
85,BC,48.430223,-123.512527,143
86,BC,48.431497,-124.113449,0
87,BC,48.434343,-123.694427,227
88,BC,48.43479,-124.295403,0
89,BC,48.435861,-123.275368,0
90,BC,48.437832,-124.477371,0
91,BC,48.438212,-123.876358,299
92,BC,48.440306,-123.457268,49
93,BC,48.44183,-124.058311,227
94,BC,48.444501,-123.639198,428
95,BC,48.445199,-124.240295,0
96,BC,48.445844,-123.220062,0
97,BC,48.448317,-124.422295,0
98,BC,48.448446,-123.821167,527
99,BC,48.450365,-123.401993,22
100,BC,48.452141,-124.003151,526
101,BC,48.454636,-123.583954,204
102,BC,48.455585,-124.185165,32
103,BC,48.455804,-123.164726,0
104,BC,48.458657,-123.765945,433
105,BC,48.458779,-124.367203,0
106,BC,48.460402,-123.346695,59
107,BC,48.461722,-124.549263,0
108,BC,48.462428,-123.947968,659
109,BC,48.464749,-123.528687,305
110,BC,48.465948,-124.130013,441
111,BC,48.468846,-123.710709,429
112,BC,48.469218,-124.312088,0
113,BC,48.470415,-123.291374,19
114,BC,48.472237,-124.494179,0
115,BC,48.472692,-123.892761,583
116,BC,48.474838,-123.473396,67
117,BC,48.476288,-124.074844,643
118,BC,48.479011,-123.655457,397
119,BC,48.479634,-124.256943,151
120,BC,48.480405,-123.236031,0
121,BC,48.482729,-124.439072,0
122,BC,48.482933,-123.83754,724
123,BC,48.484904,-123.418083,16
124,BC,48.485573,-124.621216,0
125,BC,48.486605,-124.019646,476
126,BC,48.489153,-123.600174,510
127,BC,48.490027,-124.201782,618
128,BC,48.493151,-123.782288,427
129,BC,48.493198,-124.383942,0
130,BC,48.494947,-123.362755,46
131,BC,48.496118,-124.566124,0
132,BC,48.496899,-123.964432,520
133,BC,48.499272,-123.544868,120
134,BC,48.500397,-124.146599,381
135,BC,48.503346,-123.72702,298
136,BC,48.503644,-124.328796,0
137,BC,48.504967,-123.307396,0
138,BC,48.50664,-124.511009,0
139,BC,48.50717,-123.909195,462
140,BC,48.509368,-123.489548,233
141,BC,48.509385,-124.693245,0
142,BC,48.510744,-124.091393,829
143,BC,48.513518,-123.67173,340
144,BC,48.514066,-124.273621,313
145,BC,48.514963,-123.252022,0
146,BC,48.517138,-124.455872,0
147,BC,48.517418,-123.853935,650
148,BC,48.51944,-123.434204,69
149,BC,48.51996,-124.638138,0
150,BC,48.521068,-124.036171,846
151,BC,48.523667,-123.616409,484
152,BC,48.524466,-124.21843,759
153,BC,48.527614,-124.400711,95
154,BC,48.527643,-123.798653,527
155,BC,48.52949,-123.378838,80
156,BC,48.530511,-124.583015,0
157,BC,48.531368,-123.980919,985
158,BC,48.533793,-123.561073,242
159,BC,48.534843,-124.163208,713
160,BC,48.537845,-123.743347,710
161,BC,48.538067,-124.345528,412
162,BC,48.539516,-123.323448,0
163,BC,48.54104,-124.527863,0
164,BC,48.541646,-123.925644,594
165,BC,48.543762,-124.71022,0
166,BC,48.543895,-123.505722,315
167,BC,48.545197,-124.107971,629
168,BC,48.548023,-123.688019,577
169,BC,48.548497,-124.290321,738
170,BC,48.54952,-123.268036,0
171,BC,48.551546,-124.472687,0
172,BC,48.551901,-123.870354,786
173,BC,48.553975,-123.45034,50
174,BC,48.554344,-124.655083,0
175,BC,48.555528,-124.052711,951
176,BC,48.558179,-123.632675,368
177,BC,48.558903,-124.235092,451
178,BC,48.562028,-124.417496,0
179,BC,48.562133,-123.815033,655
180,BC,48.564031,-123.394936,31
181,BC,48.564902,-124.599922,6
182,BC,48.565835,-123.997429,528
183,BC,48.567525,-124.782364,0
184,BC,48.568311,-123.577301,445
185,BC,48.569287,-124.17984,390
186,BC,48.572341,-123.759697,672
187,BC,48.572488,-124.362282,3
188,BC,48.574064,-123.339516,0
189,BC,48.575438,-124.544739,98
190,BC,48.57612,-123.942123,614
191,BC,48.578137,-124.727219,0
192,BC,48.578421,-123.521912,110
193,BC,48.579648,-124.124565,168
194,BC,48.582526,-123.704338,334
195,BC,48.582925,-124.307037,9
196,BC,48.584074,-123.284073,0
197,BC,48.585951,-124.489532,298
198,BC,48.586381,-123.886795,657
199,BC,48.588507,-123.466499,0
200,BC,48.588725,-124.67205,60
201,BC,48.589985,-124.069275,155
202,BC,48.592689,-123.648956,377
203,BC,48.593338,-124.251778,14
204,BC,48.59644,-124.434303,17
205,BC,48.59662,-123.831444,770
206,BC,48.59857,-123.411064,50
207,BC,48.599291,-124.616852,231
208,BC,48.6003,-124.013954,590
209,BC,48.601891,-124.799423,0
210,BC,48.602828,-123.593552,587
211,BC,48.603729,-124.196495,40
212,BC,48.606835,-123.77607,723
213,BC,48.606907,-124.379051,881
214,BC,48.60861,-123.355606,43
215,BC,48.609834,-124.561638,578
216,BC,48.610591,-123.958618,735
217,BC,48.612509,-124.74424,0
218,BC,48.612944,-123.538124,116
219,BC,48.614096,-124.14119,754
220,BC,48.617027,-123.72068,476
221,BC,48.61735,-124.323784,717
222,BC,48.618626,-123.300133,0
223,BC,48.620353,-124.506401,555
224,BC,48.62086,-123.903252,579
225,BC,48.623037,-123.482681,0
226,BC,48.623105,-124.689034,335
227,BC,48.624441,-124.085861,743
228,BC,48.627196,-123.66526,213
229,BC,48.627771,-124.268486,556
230,BC,48.63085,-124.451134,336
231,BC,48.631105,-123.84787,559
232,BC,48.633106,-123.427208,38
233,BC,48.633677,-124.633812,539
234,BC,48.634762,-124.03051,984
235,BC,48.636254,-124.816498,0
236,BC,48.637342,-123.609825,160
237,BC,48.638168,-124.213165,804
238,BC,48.641323,-124.395851,639
239,BC,48.641327,-123.792465,406
240,BC,48.643153,-123.371719,0
241,BC,48.644227,-124.57856,542
242,BC,48.64506,-123.975136,539
243,BC,48.646879,-124.761284,81
244,BC,48.647465,-123.554367,34
245,BC,48.648543,-124.157829,717
246,BC,48.64928,-124.944031,0
247,BC,48.651526,-123.737038,287
248,BC,48.651774,-124.340546,665
249,BC,48.653176,-123.316208,0
250,BC,48.654753,-124.523285,960
251,BC,48.655336,-123.919739,547
252,BC,48.657482,-124.706047,242
253,BC,48.657565,-123.498886,0
254,BC,48.658894,-124.102463,657
255,BC,48.659958,-124.888824,0
256,BC,48.661702,-123.681587,157
257,BC,48.662201,-124.285217,732
258,BC,48.663176,-123.260674,0
259,BC,48.665257,-124.467995,468
260,BC,48.665588,-123.864319,439
261,BC,48.667641,-123.443382,10
262,BC,48.668061,-124.650787,536
263,BC,48.669222,-124.047081,518
264,BC,48.670614,-124.833603,49
265,BC,48.671854,-123.626114,107
266,BC,48.672606,-124.229866,393
267,BC,48.672915,-125.016434,0
268,BC,48.675737,-124.412674,294
269,BC,48.675817,-123.808884,376
270,BC,48.677694,-123.387856,0
271,BC,48.678618,-124.595505,377
272,BC,48.679527,-123.991676,689
273,BC,48.681246,-124.778351,42
274,BC,48.681984,-123.570625,77
275,BC,48.682987,-124.174492,507
276,BC,48.683624,-124.96122,0
277,BC,48.686022,-123.753418,580
278,BC,48.686195,-124.35733,586
279,BC,48.687724,-123.332306,0
280,BC,48.689151,-124.540199,325
281,BC,48.689809,-123.936241,916
282,BC,48.691856,-124.723083,525
283,BC,48.69209,-123.515106,0
284,BC,48.693345,-124.119095,307
285,BC,48.694309,-124.905983,58
286,BC,48.696205,-123.697937,386
287,BC,48.696511,-125.088898,0
288,BC,48.696629,-124.301971,882
289,BC,48.697731,-123.276741,0
290,BC,48.699662,-124.484871,584
291,BC,48.700068,-123.880791,496
292,BC,48.702173,-123.459572,0
293,BC,48.702443,-124.667786,776
294,BC,48.70368,-124.063675,467
295,BC,48.704972,-124.850723,275
296,BC,48.706364,-123.642433,93
297,BC,48.70704,-124.246582,712
298,BC,48.70725,-125.033676,0
299,BC,48.707714,-123.221153,0
300,BC,48.710149,-124.42952,371
301,BC,48.710304,-123.825317,678
302,BC,48.712233,-123.404015,0
303,BC,48.713006,-124.612473,216
304,BC,48.713992,-124.008232,721
305,BC,48.715612,-124.795441,4
306,BC,48.7165,-123.586906,59
307,BC,48.717429,-124.191177,507
308,BC,48.717965,-124.978432,137
309,BC,48.720067,-125.161438,0
310,BC,48.720516,-123.769821,507
311,BC,48.720613,-124.374146,682
312,BC,48.72227,-123.348434,0
313,BC,48.723547,-124.557129,532
314,BC,48.724281,-123.952774,820
315,BC,48.726228,-124.740135,38
316,BC,48.726613,-123.531357,0
