STATION,PPT_sp,PPT_sm,PPT_at,PPT_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmax_wt,Tmin_sp,Tmin_sm,Tmin_at,Tmin_wt,Tave_sp,Tave_sm,Tave_at,Tave_wt,MSP,MAP,MAT,MWMT,MCMT,TD,AHM,SHM
1030552,487,132,772,993,12.23333333,22.63333333,13.23333333,4.433333333,3.7,11.66666667,6.4,0,7.966666667,17.15,9.816666667,2.216666667,62.2,2384,9.2875,18.3,1.8,16.5,8.090394295,294.2122186
1160510,46,92,65,51,17.8,29.13333333,15.33333333,1.533333333,3.6,13.93333333,3.7,-5.733333333,10.7,21.53333333,9.516666667,-2.1,27.4,254,9.9125,22.8,-3.3,26.1,78.39566929,832.1167883
1160511,NA,112,NA,NA,16.56666667,27.56666667,13.96666667,0.933333333,3.366666667,13.76666667,3.433333333,-6.033333333,9.966666667,20.66666667,8.7,-2.55,NA,NA,9.195833333,22,-4,26,NA,NA
1160540,61,90,73,76,15.83333333,26.93333333,13.36666667,0.066666667,3.433333333,12.53333333,2.666666667,-6.466666667,9.633333333,19.73333333,8.016666667,-3.2,30.2,300,8.545833333,20.95,-4.4,25.35,61.81944444,693.7086093
1160520,NA,63,NA,NA,17.13333333,28.36666667,14.53333333,1.633333333,3.566666667,13.36666667,3.266666667,-5.366666667,10.35,20.86666667,8.9,-1.866666667,22.8,NA,9.5625,22,-3.3,25.3,NA,964.9122807
T36,38,68,47,36,13.06666667,24.86666667,11.43333333,-1,2.1,11.9,2.3,-6.566666667,7.583333333,18.38333333,6.866666667,-3.783333333,21.8,189,7.2625,20,-4.85,24.85,91.33597884,917.4311927
331,NA,NA,NA,NA,NA,18.03333333,NA,NA,NA,6.3,NA,NA,NA,12.16666667,NA,NA,NA,NA,NA,13.65,NA,NA,NA,NA
12866,132,84,113,134,11.6,26.16666667,13.4,-1.1,-1.166666667,8,-0.833333333,-10.56666667,5.216666667,17.08333333,6.283333333,-5.833333333,33.2,463,5.6875,18.75,-6.45,25.2,33.88228942,564.7590361
302,NA,85,NA,NA,10.13333333,21.1,10.43333333,NA,-2.4,5.466666667,-2.066666667,NA,3.866666667,13.28333333,4.183333333,NA,28.6,NA,NA,14.55,NA,NA,NA,508.7412587
107132,NA,NA,NA,NA,NA,17.63333333,NA,NA,NA,6.6,NA,NA,NA,12.11666667,NA,NA,NA,NA,NA,12.85,NA,NA,NA,NA
99129,409,121,477,700,13.8,19.33333333,16.06666667,10,5.533333333,11.23333333,7.2,3.033333333,9.666666667,15.28333333,11.63333333,6.516666667,51.6,1707,10.775,16.1,6.05,10.05,12.17047452,312.0155039
